time,open,high,low,close,tick_volume,spread,real_volume
2026-04-24 02:45:00,4697.42,4699.51,4692.27,4695.34,1830,11,0
2026-04-24 03:00:00,4695.35,4700.13,4690.95,4698.06,3851,19,0
2026-04-24 03:15:00,4698.06,4705.69,4696.51,4705.55,3374,11,0
2026-04-24 03:30:00,4705.55,4707.9,4701.29,4701.58,3276,11,0
2026-04-24 03:45:00,4701.58,4705.96,4697.27,4704.54,3699,11,0
2026-04-24 04:00:00,4704.51,4710.03,4695.88,4709.42,4964,12,0
2026-04-24 04:15:00,4709.42,4711.13,4698.33,4698.43,4003,11,0
2026-04-24 04:30:00,4698.3,4702.38,4690.47,4690.92,4784,11,0
2026-04-24 04:45:00,4690.77,4700.77,4690.39,4699.52,3758,11,0
2026-04-24 05:00:00,4699.52,4700.63,4690.2,4693.2,3591,11,0
2026-04-24 05:15:00,4693.2,4696.09,4682.2,4683.75,3628,11,0
2026-04-24 05:30:00,4683.73,4690.91,4680.13,4683.41,4282,11,0
2026-04-24 05:45:00,4683.42,4684.06,4673.2,4676.79,3746,11,0
2026-04-24 06:00:00,4676.83,4678.33,4668.67,4670.38,3672,11,0
2026-04-24 06:15:00,4670.38,4678.05,4670.23,4674.41,3261,11,0
2026-04-24 06:30:00,4674.42,4678.27,4672.9,4675.28,2648,11,0
2026-04-24 06:45:00,4675.28,4676.83,4671.46,4672.13,1846,11,0
2026-04-24 07:00:00,4672.13,4674.63,4667.51,4670.02,2548,11,0
2026-04-24 07:15:00,4670.03,4670.76,4659.46,4659.49,3051,11,0
2026-04-24 07:30:00,4659.64,4668.44,4657.69,4668.04,2783,11,0
2026-04-24 07:45:00,4668.05,4676.81,4668.01,4674.48,2330,11,0
2026-04-24 08:00:00,4674.48,4676.84,4669.73,4673.44,2085,11,0
2026-04-24 08:15:00,4673.72,4678.57,4672.07,4676.53,2085,11,0
2026-04-24 08:30:00,4676.57,4687.27,4676.56,4682.63,3372,11,0
2026-04-24 08:45:00,4682.63,4686.78,4680.32,4686.44,3423,11,0
2026-04-24 09:00:00,4686.44,4688.15,4680.74,4681.94,3576,11,0
2026-04-24 09:15:00,4681.96,4682.12,4670.07,4671.43,3944,11,0
2026-04-24 09:30:00,4671.42,4676.15,4669.94,4673.69,4032,11,0
2026-04-24 09:45:00,4673.69,4676.38,4666.8,4671.98,4276,11,0
2026-04-24 10:00:00,4671.86,4681.38,4670.95,4680.65,3051,11,0
2026-04-24 10:15:00,4680.64,4684.81,4678.26,4684.4,2800,11,0
2026-04-24 10:30:00,4684.33,4686.18,4682.26,4685.53,2666,11,0
2026-04-24 10:45:00,4685.52,4695.24,4685.27,4694.48,2805,11,0
2026-04-24 11:00:00,4694.41,4694.61,4686.5,4687.47,3646,11,0
2026-04-24 11:15:00,4687.47,4697.45,4686.78,4687.91,3749,11,0
2026-04-24 11:30:00,4687.81,4690.15,4685.09,4688.15,3003,11,0
2026-04-24 11:45:00,4688.15,4693.08,4687.74,4690.83,2746,11,0
2026-04-24 12:00:00,4690.9,4695.32,4689.66,4695.29,2989,11,0
2026-04-24 12:15:00,4695.29,4696.72,4682.35,4683.31,3446,11,0
2026-04-24 12:30:00,4683.26,4688.54,4679.45,4686.0,3139,11,0
2026-04-24 12:45:00,4686.0,4686.84,4679.42,4682.08,2554,11,0
2026-04-24 13:00:00,4682.05,4684.79,4680.9,4682.27,2615,11,0
2026-04-24 13:15:00,4682.31,4686.24,4680.27,4682.31,2619,11,0
2026-04-24 13:30:00,4682.31,4682.44,4674.7,4679.01,2905,11,0
2026-04-24 13:45:00,4678.72,4680.73,4676.69,4677.84,2214,11,0
2026-04-24 14:00:00,4677.84,4703.4,4677.84,4697.23,5620,11,0
2026-04-24 14:15:00,4697.22,4717.1,4692.62,4715.54,5993,11,0
2026-04-24 14:30:00,4715.54,4717.36,4705.17,4705.48,4649,11,0
2026-04-24 14:45:00,4705.34,4708.35,4702.88,4706.9,3563,11,0
2026-04-24 15:00:00,4706.97,4710.31,4703.5,4708.72,4439,11,0
2026-04-24 15:15:00,4708.84,4711.87,4701.53,4710.22,4526,11,0
2026-04-24 15:30:00,4710.2,4711.65,4698.77,4698.89,4261,11,0
2026-04-24 15:45:00,4698.89,4701.13,4690.44,4700.78,4540,11,0
2026-04-24 16:00:00,4700.86,4705.68,4696.26,4703.0,5223,11,0
2026-04-24 16:15:00,4703.01,4705.18,4693.61,4697.08,4867,11,0
2026-04-24 16:30:00,4697.08,4709.75,4689.83,4708.24,6549,11,0
2026-04-24 16:45:00,4708.62,4717.5,4704.79,4711.93,6494,11,0
2026-04-24 17:00:00,4711.32,4740.38,4706.99,4731.26,7159,11,0
2026-04-24 17:15:00,4731.24,4734.05,4721.51,4725.58,6205,11,0
2026-04-24 17:30:00,4725.65,4732.85,4723.78,4730.44,6050,11,0
2026-04-24 17:45:00,4730.54,4731.29,4724.14,4726.4,4799,11,0
2026-04-24 18:00:00,4726.4,4727.27,4718.94,4722.0,5020,11,0
2026-04-24 18:15:00,4721.99,4726.4,4718.72,4721.99,4795,11,0
2026-04-24 18:30:00,4722.0,4729.54,4715.26,4728.02,4942,11,0
2026-04-24 18:45:00,4727.42,4733.47,4724.08,4727.31,6584,11,0
2026-04-24 19:00:00,4727.28,4729.76,4720.29,4720.55,4637,11,0
2026-04-24 19:15:00,4720.5,4725.84,4719.18,4723.35,3971,11,0
2026-04-24 19:30:00,4723.35,4727.21,4719.38,4722.57,3936,11,0
2026-04-24 19:45:00,4722.58,4727.77,4720.4,4726.88,4021,11,0
2026-04-24 20:00:00,4726.94,4730.05,4725.82,4727.97,4051,11,0
2026-04-24 20:15:00,4727.7,4729.4,4722.42,4722.98,3464,11,0
2026-04-24 20:30:00,4722.69,4725.58,4719.17,4722.73,3489,11,0
2026-04-24 20:45:00,4722.73,4727.77,4720.67,4723.48,2998,11,0
2026-04-24 21:00:00,4723.5,4724.89,4720.02,4723.86,3141,11,0
2026-04-24 21:15:00,4723.82,4724.36,4717.07,4717.24,3337,11,0
2026-04-24 21:30:00,4717.09,4720.57,4716.97,4718.94,2685,11,0
2026-04-24 21:45:00,4718.94,4723.32,4717.86,4722.75,2692,11,0
2026-04-24 22:00:00,4722.75,4726.08,4721.09,4722.5,2765,11,0
2026-04-24 22:15:00,4722.47,4723.36,4717.46,4719.09,2488,11,0
2026-04-24 22:30:00,4719.04,4720.7,4715.94,4716.78,2634,11,0
2026-04-24 22:45:00,4716.43,4718.66,4713.71,4716.48,3761,11,0
2026-04-24 23:00:00,4716.23,4717.49,4705.59,4706.82,2140,11,0
2026-04-24 23:15:00,4706.81,4709.76,4705.44,4708.22,1540,11,0
2026-04-24 23:30:00,4708.22,4708.73,4705.15,4707.64,1432,11,0
2026-04-24 23:45:00,4707.64,4709.53,4706.35,4707.7,1182,50,0
2026-04-27 01:00:00,4697.71,4704.99,4680.06,4685.38,4119,14,0
2026-04-27 01:15:00,4685.91,4688.59,4683.05,4686.92,2158,14,0
2026-04-27 01:30:00,4686.92,4686.92,4682.19,4684.51,1864,19,0
2026-04-27 01:45:00,4684.51,4685.98,4682.09,4684.57,1360,19,0
2026-04-27 02:00:00,4684.55,4684.87,4677.59,4683.65,1965,12,0
2026-04-27 02:15:00,4683.65,4684.53,4677.26,4677.36,1323,12,0
2026-04-27 02:30:00,4677.36,4680.02,4675.11,4676.91,1790,11,0
2026-04-27 02:45:00,4676.91,4682.13,4676.91,4680.01,1835,11,0
2026-04-27 03:00:00,4679.99,4681.11,4672.19,4679.92,3389,15,0
2026-04-27 03:15:00,4679.92,4682.4,4677.71,4680.87,2686,11,0
2026-04-27 03:30:00,4680.91,4681.6,4676.82,4680.74,2221,11,0
2026-04-27 03:45:00,4680.74,4698.27,4680.74,4697.85,2848,11,0
2026-04-27 04:00:00,4698.03,4709.64,4692.07,4692.69,5494,15,0
2026-04-27 04:15:00,4692.69,4698.65,4690.78,4698.13,4651,13,0
2026-04-27 04:30:00,4698.15,4700.97,4695.7,4697.95,3933,11,0
2026-04-27 04:45:00,4697.94,4706.52,4697.79,4702.63,3543,11,0
2026-04-27 05:00:00,4702.66,4706.63,4696.19,4699.7,3352,11,0
2026-04-27 05:15:00,4699.7,4708.18,4698.96,4705.77,2333,11,0
2026-04-27 05:30:00,4705.77,4714.46,4704.37,4713.51,3400,11,0
2026-04-27 05:45:00,4713.51,4723.44,4712.11,4718.21,3345,11,0
2026-04-27 06:00:00,4718.21,4722.22,4716.51,4717.9,3084,11,0
2026-04-27 06:15:00,4717.9,4718.57,4714.45,4715.66,2446,11,0
2026-04-27 06:30:00,4715.66,4729.41,4715.41,4728.31,2538,13,0
2026-04-27 06:45:00,4728.31,4728.71,4722.47,4724.24,2307,11,0
2026-04-27 07:00:00,4724.13,4727.95,4723.56,4727.57,1817,11,0
2026-04-27 07:15:00,4727.57,4728.02,4725.0,4726.95,1543,11,0
2026-04-27 07:30:00,4726.97,4730.05,4725.42,4726.28,1739,11,0
2026-04-27 07:45:00,4726.28,4726.66,4722.72,4725.04,1915,11,0
2026-04-27 08:00:00,4725.05,4725.47,4718.26,4718.49,2229,11,0
2026-04-27 08:15:00,4718.42,4719.88,4716.04,4718.21,2143,11,0
2026-04-27 08:30:00,4718.21,4718.38,4709.14,4711.69,3441,11,0
2026-04-27 08:45:00,4711.69,4713.71,4708.66,4710.09,2759,11,0
2026-04-27 09:00:00,4710.1,4715.69,4709.29,4714.51,3018,11,0
2026-04-27 09:15:00,4714.49,4715.72,4711.39,4714.45,3027,11,0
2026-04-27 09:30:00,4714.44,4714.52,4709.28,4710.7,3107,11,0
2026-04-27 09:45:00,4710.68,4715.51,4710.0,4712.83,2526,11,0
2026-04-27 10:00:00,4712.7,4718.27,4710.84,4717.14,3510,11,0
